"ID_Auftrag"	"Kunde"	"Datum"	"Nr"	"Betrag"
0	7	"2006-11-06"	14129	"13.85"
1	8	"2006-11-06"	14127	4
2	9	"2006-11-06"	14120	"10.9"
3	10	"2006-11-07"	14137	"7.5"
4	11	"2006-11-07"	14135	"21.15"
5	12	"2006-11-07"	14133	"31.8"
6	13	"2006-11-07"	14130	"22.55"
7	14	"2006-11-08"	14144	"10.9"
8	15	"2006-11-08"	14140	"23.4"
9	16	"2008-12-04"	16788	"13.8"
10	17	"2006-11-08"	14134	"34.4"
11	18	"2006-11-08"	14132	15
12	20	"2006-11-08"	14131	"21.25"
13	21	"2006-11-08"	14128	"23.3"
14	22	"2006-11-09"	14158	"12.55"
15	23	"2006-11-09"	14155	"3.5"
16	24	"2006-11-09"	14152	14
17	25	"2006-11-09"	14149	"9.95"
18	26	"2006-11-09"	14147	"34.7"
19	27	"2006-11-09"	14146	"23.9"
20	28	"2006-11-09"	14046	"9.95"
21	29	"2006-11-09"	14142	"13.95"
22	30	"2006-11-10"	14179	"10.9"
23	31	"2006-11-10"	14178	"12.9"
24	32	"2006-11-10"	14176	5
25	33	"2006-11-15"	14171	"17.4"
26	34	"2006-11-10"	14170	"22.4"
27	35	"2006-11-10"	14169	"13.9"
28	36	"2006-11-10"	14168	"11.9"
29	37	"2006-11-10"	14166	"18.5"
30	38	"2006-11-10"	14165	"7.5"
31	39	"2006-11-10"	14164	"11.8"
33	41	"2006-11-10"	14162	"24.55"
34	42	"2006-11-10"	14161	25
35	43	"2006-11-10"	14159	"9.95"
36	44	"2006-11-10"	14157	"21.9"
37	45	"2006-11-10"	14156	"11.9"
38	46	"2006-11-10"	14154	"9.95"
39	47	"2013-09-20"	22861	18
40	48	"2006-11-27"	14148	"22.8"
41	49	"2006-11-28"	14173	"8.5"
42	50	"2006-11-29"	14200	"10.5"
44	51	"2006-11-29"	14195	3
45	52	"2006-11-29"	14177	"25.3"
46	53	"2006-11-29"	14174	"47.95"
47	54	"2015-10-22"	25139	"10.9"
48	55	"2006-12-02"	14194	"13.9"
49	56	"2006-11-30"	14191	"9.95"
50	57	"2006-11-30"	14190	"19.8"
51	58	"2006-11-30"	14189	"20.45"
52	59	"2006-11-30"	14187	"12.6"
53	60	"2006-11-30"	14185	"19.9"
54	61	"2010-06-18"	18950	"12.9"
55	62	"2006-11-30"	14183	"11.95"
56	63	"2006-11-30"	14160	"22.9"
57	19	"2011-12-20"	20894	"14.5"
58	5	"2006-12-01"	14220	"70.7"
59	64	"2006-12-01"	14211	"9.95"
60	24	"2006-12-01"	14208	"38.3"
61	65	"2006-12-01"	14206	"20.85"
62	66	"2006-12-01"	14204	"9.95"
63	67	"2006-12-01"	14203	"8.5"
64	68	"2009-03-04"	17085	"27.9"
65	69	"2006-12-01"	14201	6
66	70	"2006-12-01"	14199	"9.95"
67	71	"2006-12-01"	14198	"21.4"
68	72	"2006-12-01"	14197	"13.8"
69	73	"2006-12-01"	14192	"7.9"
70	74	"2006-12-01"	14186	"8.6"
71	75	"2006-12-01"	14181	"12.6"
72	76	"2015-04-16"	24566	10
73	77	"2006-12-04"	14231	"2.5"
74	78	"2015-11-10"	25193	"11.95"
75	79	"2006-12-04"	14193	"11.85"
76	80	"2006-12-04"	14188	"5.5"
77	81	"2006-12-04"	14172	6
78	56	"2006-12-05"	14224	"9.95"
79	82	"2006-12-05"	14215	"7.95"
80	83	"2006-12-05"	14212	"13.85"
81	84	"2006-12-05"	14167	"33.9"
82	85	"2006-12-06"	14235	"9.95"
83	86	"2006-12-06"	14232	"9.95"
84	87	"2006-12-06"	14230	"10.5"
85	88	"2006-12-07"	14229	"13.5"
86	89	"2006-12-06"	14228	"19.9"
87	90	"2006-12-06"	14222	12
88	91	"2006-12-06"	14219	"44.6"
89	92	"2006-12-06"	14214	23
90	49	"2006-12-06"	14209	"12.85"
91	93	"2006-12-07"	14205	"8.35"
92	94	"2006-12-07"	14240	"19.8"
93	95	"2006-12-07"	14239	"13.8"
94	96	"2006-12-07"	14236	"13.8"
95	97	"2006-12-07"	14221	"12.9"
96	98	"2006-12-07"	14213	"30.5"
97	99	"2006-12-07"	14182	"9.95"
98	100	"2015-05-08"	24687	"12.95"
99	101	"2006-12-08"	14244	22
100	81	"2006-12-08"	14242	"24.9"
101	102	"2006-12-08"	14241	"12.95"
102	103	"2006-12-08"	14238	"9.5"
103	104	"2006-12-08"	14237	5
104	105	"2006-12-08"	14233	"21.7"
105	106	"2006-12-08"	14227	"19.8"
106	107	"2006-12-08"	14225	"20.8"
107	108	"2015-10-22"	25130	"11.95"
108	19			
109	109	"2006-12-11"	14251	"21.25"
110	88	"2006-12-11"	14255	"24.35"
111	110	"2006-12-11"	14249	"21.9"
112	111	"2006-12-11"	14247	"9.95"
113	112	"2006-12-11"	14217	"25.65"
114	113	"2008-12-03"	16784	"13.8"
115	114	"2006-12-12"	14254	"7.5"
116	115	"2006-12-12"	14252	"11.5"
117	24	"2006-12-12"	14246	"38.4"
118	82	"2006-12-12"	14243	"9.8"
119	116	"2006-12-12"	14180	"20.85"
120	117	"2006-12-12"	14108	"38.4"
121	118	"2006-12-13"	14261	"16.8"
122	119	"2006-12-13"	14258	"31.4"
123	120	"2006-12-13"	14253	"12.6"
124	121	"2006-12-13"	14245	"18.4"
125	122	"2006-12-13"	14216	"48.75"
126	123	"2007-09-12"	15220	"22.5"
127	124	"2006-12-13"	14139	"8.5"
128	125	"2006-12-14"	14290	5
129	3	"2006-12-14"	14273	"7.9"
130	126	"2006-12-14"	14272	"31.8"
131	127	"2006-12-14"	14271	3
132	94	"2006-12-14"	14270	"13.9"
133	128	"2006-12-14"	14265	"12.8"
134	129	"2006-12-14"	14264	"39.6"
135	130	"2006-12-14"	14262	"30.9"
136	131	"2006-12-14"	14257	"10.95"
137	132	"2006-12-14"	14256	"13.5"
138	133	"2006-12-14"	14234	"25.4"
139	52	"2006-12-14"	14289	"10.5"
140	134	"2006-12-15"	14288	"10.95"
141	135	"2006-12-15"	14287	15
142	124	"2006-12-15"	14285	9
143	136	"2006-12-15"	14284	"30.3"
144	137	"2006-12-15"	14283	"13.9"
145	138	"2010-02-05"	18428	5
146	139	"2006-12-15"	14281	"19.9"
147	140	"2006-12-15"	14280	"16.25"
148	141	"2007-08-31"	15147	"10.9"
149	142	"2006-12-15"	14276	"12.8"
150	143	"2006-12-15"	14275	"9.9"
151	144	"2015-04-17"	24598	"14.8"
152	145	"2006-12-15"	14269	"23.25"
153	146	"2006-12-15"	14268	"22.9"
154	147	"2006-12-15"	14267	"9.95"
155	88	"2006-12-15"	14266	3
156	92	"2006-12-15"	14248	"20.3"
157	148	"2006-12-15"	14223	"169.7"
158	149	"2007-01-02"	14303	"8.4"
159	150	"2007-01-03"	14306	3
161	152	"2007-01-03"	14295	"10.9"
162	120	"2007-01-03"	14294	5
163	28	"2007-01-03"	14175	"14.85"
164	153	"2007-01-04"	14304	"8.45"
165	154	"2015-03-25"	24527	"10.95"
166	130	"2007-01-05"	14312	"28.3"
167	155	"2008-12-03"	16794	"22.6"
168	156	"2007-01-05"	14307	"21.15"
169	157	"2007-01-05"	14302	"10.9"
170	158	"2007-01-05"	14301	5
171	159	"2007-01-05"	14300	"27.8"
172	160	"2007-01-05"	14298	"9.5"
173	98	"2007-01-05"	14260	"22.8"
174	161	"2007-01-08"	14324	"21.1"
175	162	"2008-10-28"	16661	"22.45"
176	163	"2007-01-08"	14313	"56.75"
177	12	"2007-01-08"	14308	19
178	90	"2007-01-08"	14305	"33.8"
179	164	"2007-01-09"	14323	8
180	165	"2007-01-09"	14318	"29.4"
181	166	"2007-01-09"	14315	"13.9"
182	143	"2007-01-09"	14314	"15.5"
183	167	"2007-01-10"	14342	"4.5"
184	168	"2007-01-10"	14335	"10.5"
185	134	"2007-01-10"	14328	"17.2"
186	169	"2007-01-10"	14126	"7.5"
187	170	"2014-09-05"	23947	"15.8"
188	171	"2015-11-30"	25232	"10.95"
189	172	"2007-01-10"	14319	"29.5"
190	173	"2007-01-10"	14311	"42.1"
191	147	"2007-01-11"	14329	"10.9"
192	174	"2007-01-11"	14327	"10.5"
193	175	"2007-01-11"	14326	"10.9"
194	176	"2007-01-11"	14322	"8.9"
195	177	"2007-01-12"	14347	3
196	173	"2007-01-12"	14346	"10.9"
197	178	"2007-01-12"	14343	"10.8"
198	179	"2007-01-12"	14341	22
199	180	"2015-10-22"	25086	"15.95"
200	181	"2007-01-12"	14334	"14.8"
201	182	"2007-01-12"	14333	"9.95"
202	183	"2007-01-12"	14332	"10.6"
203	184	"2007-01-12"	14331	"14.5"
204	185	"2007-01-12"	14330	"30.9"
205	82	"2007-01-12"	14320	"14.5"
206	23	"2007-01-12"	14310	"14.75"
207	186	"2007-01-15"	14345	"10.5"
208	187	"2007-01-15"	14339	"13.95"
209	188	"2007-01-15"	14151	"21.15"
210	189	"2007-01-16"	14350	"13.7"
211	190	"2007-01-16"	14338	"35.6"
212	191	"2007-01-16"	14337	3
213	192	"2007-10-16"	14316	7
214	193	"2007-01-17"	14365	"13.9"
215	194	"2007-01-17"	14354	"13.6"
216	195	"2007-01-17"	14352	18
217	196	"2007-01-17"	14351	"19.8"
218	197	"2007-01-17"	14348	21
219	198	"2007-01-17"	14344	"13.55"
220	199	"2007-01-17"	14340	"21.5"
221	122	"2007-01-17"	14286	"36.9"
222	200	"2007-01-18"	14369	"13.65"
223	201	"2015-11-02"	25161	"11.35"
224	202	"2007-01-19"	14376	"10.95"
225	203	"2007-01-19"	14374	"38.1"
226	99	"2007-01-19"	14371	"3.5"
227	204	"2007-01-19"	14370	"10.9"
228	205	"2007-01-19"	14366	"19.9"
229	206	"2007-01-19"	14363	"16.9"
230	102	"2007-01-19"	14361	"18.95"
231	153	"2007-01-19"	14360	"8.5"
232	187	"2007-01-19"	14359	"44.6"
233	207	"2007-01-19"	14356	"13.95"
234	208	"2007-01-19"	14355	5
235	209	"2007-01-22"	14353	"15.35"
236	210	"2007-01-22"	14349	"10.9"
237	155	"2009-10-16"	18017	6
238	183	"2007-01-23"	14381	"14.15"
239	211	"2007-01-23"	14377	"13.65"
240	126	"2007-01-23"	14372	"35.7"
241	3	"2007-01-23"	14368	"8.9"
242	212	"2007-01-23"	14362	"38.15"
243	213	"2007-01-24"	14389	11
244	214	"2007-01-24"	14384	"19.8"
245	215	"2007-01-24"	14378	"10.9"
246	216	"2007-01-25"	14390	15
247	130	"2007-01-25"	14383	"42.3"
248	217	"2007-01-25"	14380	"24.55"
249	218	"2007-01-25"	14375	"58.6"
250	219	"2007-01-25"	14373	"10.9"
251	220	"2007-01-25"	14367	"11.5"
252	221	"2015-10-21"	25125	14
253	222	"2007-01-26"	14393	"13.9"
254	223	"2007-01-26"	14392	"10.9"
255	224	"2007-01-26"	14391	"6.5"
256	225	"2007-01-26"	14388	"8.4"
257	226	"2007-01-26"	14387	8
258	121	"2007-01-26"	14385	"28.7"
259	227	"2007-01-29"	14397	"12.45"
260	228	"2007-01-29"	14386	"21.8"
261	229	"2007-01-29"	14382	"24.1"
262	94	"2007-01-29"	14364	32
263	38	"2007-01-30"	14395	11
264	116	"2007-01-30"	14279	7
265	231	"2007-01-30"	14358	44
266	232	"2007-01-31"	14398	"28.45"
267	233	"2007-01-31"	14379	"14.9"
268	234	"2007-02-01"	14406	"23.4"
269	103	"2007-02-01"	14400	"30.9"
270	235	"2007-02-01"	14399	"28.45"
271	208	"2007-02-01"	14396	12
272	32	"2007-02-02"	14420	"10.9"
273	236	"2007-02-02"	14409	"14.4"
274	237	"2007-02-02"	14407	"33.7"
275	238	"2007-02-02"	14404	"22.45"
276	239	"2007-02-02"	14401	"23.45"
277	240	"2007-02-05"	14416	12
278	24	"2007-02-05"	14397	"24.85"
279	241	"2007-02-05"	14394	"13.65"
280	242	"2007-02-06"	14422	5
281	243	"2007-02-06"	14418	"13.8"
282	141	"2008-08-28"	16414	5
283	244	"2007-02-06"	14412	16
284	106	"2007-02-06"	14405	"63.4"
285	245	"2007-02-06"	14395	"23.55"
286	24	"2007-02-07"	14427	"21.9"
287	246	"2007-02-07"	14425	"16.4"
288	247	"2014-09-11"	23963	"4.8"
289	21	"2007-02-07"	14411	"10.9"
290	248	"2007-02-08"	14426	"13.55"
291	205	"2007-02-08"	14424	"16.2"
292	233	"2007-02-08"	14423	"19.55"
293	249	"2007-02-08"	14417	"8.85"
294	250	"2007-02-08"	14414	"16.3"
296	251	"2007-02-08"	14410	"30.8"
297	252	"2007-02-08"	14402	"19.9"
298	253	"2007-02-09"	14438	"11.9"
299	254	"2007-02-09"	14434	"8.9"
300	255	"2015-11-05"	25192	"21.9"
301	256	"2007-02-09"	14428	"10.5"
302	257	"2007-02-09"	14419	4
303	258	"2007-02-09"	14403	"7.5"
304	19			
305	259	"2007-02-09"	14357	"104.9"
306	260	"2007-02-09"	14045	"11.75"
307	261	"2007-02-12"	14432	"8.4"
308	3	"2007-02-12"	14431	"38.7"
309	262	"2011-12-05"	20698	"22.6"
310	263	"2007-02-13"	14439	"6.5"
311	264	"2007-02-13"	14436	"23.35"
312	265	"2014-07-01"	23752	4
313	96	"2007-02-14"	14446	"10.6"
