"ID_Auftrag"	"Kunde"	"Datum"	"Nr"	"Betrag"	"Neu"	"Notiz"
0	7	06.11.06	14129	13.85		
1	8	06.11.06	14127	4		"keine Anschrift"
2	9	06.11.06	14120	10.9		"keine Anschrift"
3	10	07.11.06	14137	7.5		
4	11	07.11.06	14135	21.15		
5	12	07.11.06	14133	31.8		"keine Anschrift"
6	13	07.11.06	14130	22.55		
7	14	08.11.06	14144	10.9		
8	15	08.11.06	14140	23.4		
9	16	04.12.08	16788	13.8		
10	17	08.11.06	14134	34.4		
11	18	08.11.06	14132	15		
12	20	08.11.06	14131	21.25		
13	21	08.11.06	14128	23.3		
14	22	09.11.06	14158	12.55		
15	23	09.11.06	14155	3.5		
16	24	09.11.06	14152	14		
17	25	09.11.06	14149	9.95		
18	26	09.11.06	14147	34.7		
19	27	09.11.06	14146	23.9		
20	28	09.11.06	14046	9.95		
21	29	09.11.06	14142	13.95		
22	30	10.11.06	14179	10.9		
23	31	10.11.06	14178	12.9		"keine Anschrift"
24	32	10.11.06	14176	5		"keine Anschrift"
25	33	15.11.06	14171	17.4		"keine Anschrift"
26	34	10.11.06	14170	22.4		"keine Anschrift"
27	35	10.11.06	14169	13.9		
28	36	10.11.06	14168	11.9		
29	37	10.11.06	14166	18.5		
30	38	10.11.06	14165	7.5		
31	39	10.11.06	14164	11.8		
33	41	10.11.06	14162	24.55		
34	42	10.11.06	14161	25		
35	43	10.11.06	14159	9.95		"keine Anschrift"
36	44	10.11.06	14157	21.9		"keine Anschrift"
37	45	10.11.06	14156	11.9		
38	46	10.11.06	14154	9.95		
39	47	20.09.13	22861	18		
40	48	27.11.06	14148	22.8		
41	49	28.11.06	14173	8.5		
42	50	29.11.06	14200	10.5		"keine Anschrift"
44	51	29.11.06	14195	3		"keine Anschrift"
45	52	29.11.06	14177	25.3		"Poppow"
46	53	29.11.06	14174	47.95		
47	54	22.10.15	25139	10.9		
48	55	02.12.06	14194	13.9		"keine Anschrift"
49	56	30.11.06	14191	9.95		
50	57	30.11.06	14190	19.8		
51	58	30.11.06	14189	20.45		
52	59	30.11.06	14187	12.6		
53	60	30.11.06	14185	19.9		
54	61	18.06.10	18950	12.9		
55	62	30.11.06	14183	11.95		"keine Anschrift"
56	63	30.11.06	14160	22.9		
57	19	20.12.11	20894	14.5		
58	5	01.12.06	14220	70.7		
59	64	01.12.06	14211	9.95		
60	24	01.12.06	14208	38.3		
61	65	01.12.06	14206	20.85		
62	66	01.12.06	14204	9.95		
63	67	01.12.06	14203	8.5		
64	68	04.03.09	17085	27.9		
65	69	01.12.06	14201	6		
66	70	01.12.06	14199	9.95		
67	71	01.12.06	14198	21.4		
68	72	01.12.06	14197	13.8		
69	73	01.12.06	14192	7.9		
70	74	01.12.06	14186	8.6		
71	75	01.12.06	14181	12.6		
72	76	16.04.15	24566	10		
73	77	04.12.06	14231	2.5		
74	78	10.11.15	25193	11.95		
75	79	04.12.06	14193	11.85		
76	80	04.12.06	14188	5.5		"Ricarda-Huch-Str. 6"
77	81	04.12.06	14172	6		
78	56	05.12.06	14224	9.95		
79	82	05.12.06	14215	7.95		
80	83	05.12.06	14212	13.85		
81	84	05.12.06	14167	33.9		
82	85	06.12.06	14235	9.95		
83	86	06.12.06	14232	9.95		
84	87	06.12.06	14230	10.5		
85	88	07.12.06	14229	13.5		
86	89	06.12.06	14228	19.9		
87	90	06.12.06	14222	12		
88	91	06.12.06	14219	44.6		"keine Anschrift"
89	92	06.12.06	14214	23		
90	49	06.12.06	14209	12.85		
91	93	07.12.06	14205	8.35		"Fam."
92	94	07.12.06	14240	19.8		
93	95	07.12.06	14239	13.8		
